"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C01_002E","S2001_C01_002M","S2001_C01_003E","S2001_C01_003M","S2001_C01_004E","S2001_C01_004M","S2001_C01_005E","S2001_C01_005M","S2001_C01_006E","S2001_C01_006M","S2001_C01_007E","S2001_C01_007M","S2001_C01_008E","S2001_C01_008M","S2001_C01_009E","S2001_C01_009M","S2001_C01_010E","S2001_C01_010M","S2001_C01_011E","S2001_C01_011M","S2001_C01_012E","S2001_C01_012M","S2001_C01_013E","S2001_C01_013M","S2001_C01_014E","S2001_C01_014M","S2001_C01_015E","S2001_C01_015M","S2001_C01_016E","S2001_C01_016M","S2001_C01_017E","S2001_C01_017M","S2001_C01_018E","S2001_C01_018M","S2001_C01_019E","S2001_C01_019M","S2001_C01_020E","S2001_C01_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_001E","S2001_C02_001M","S2001_C02_002E","S2001_C02_002M","S2001_C02_003E","S2001_C02_003M","S2001_C02_004E","S2001_C02_004M","S2001_C02_005E","S2001_C02_005M","S2001_C02_006E","S2001_C02_006M","S2001_C02_007E","S2001_C02_007M","S2001_C02_008E","S2001_C02_008M","S2001_C02_009E","S2001_C02_009M","S2001_C02_010E","S2001_C02_010M","S2001_C02_011E","S2001_C02_011M","S2001_C02_012E","S2001_C02_012M","S2001_C02_013E","S2001_C02_013M","S2001_C02_014E","S2001_C02_014M","S2001_C02_015E","S2001_C02_015M","S2001_C02_016E","S2001_C02_016M","S2001_C02_017E","S2001_C02_017M","S2001_C02_018E","S2001_C02_018M","S2001_C02_019E","S2001_C02_019M","S2001_C02_020E","S2001_C02_020M","S2001_C02_021E","S2001_C02_021M","S2001_C03_001E","S2001_C03_001M","S2001_C03_002E","S2001_C03_002M","S2001_C03_003E","S2001_C03_003M","S2001_C03_004E","S2001_C03_004M","S2001_C03_005E","S2001_C03_005M","S2001_C03_006E","S2001_C03_006M","S2001_C03_007E","S2001_C03_007M","S2001_C03_008E","S2001_C03_008M","S2001_C03_009E","S2001_C03_009M","S2001_C03_010E","S2001_C03_010M","S2001_C03_011E","S2001_C03_011M","S2001_C03_012E","S2001_C03_012M","S2001_C03_013E","S2001_C03_013M","S2001_C03_014E","S2001_C03_014M","S2001_C03_015E","S2001_C03_015M","S2001_C03_016E","S2001_C03_016M","S2001_C03_017E","S2001_C03_017M","S2001_C03_018E","S2001_C03_018M","S2001_C03_019E","S2001_C03_019M","S2001_C03_020E","S2001_C03_020M","S2001_C03_021E","S2001_C03_021M"
"id","Geographic Area Name","Total!!Estimate!!Population 16 years and over with earnings","Total!!Margin of Error!!Population 16 years and over with earnings","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Full-time, year-round workers with earnings","Total!!Margin of Error!!Full-time, year-round workers with earnings","Total!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Total!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Mean earnings (dollars)","Total!!Margin of Error!!Mean earnings (dollars)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Estimate!!Population 16 years and over with earnings","Male!!Margin of Error!!Population 16 years and over with earnings","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Full-time, year-round workers with earnings","Male!!Margin of Error!!Full-time, year-round workers with earnings","Male!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Male!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Mean earnings (dollars)","Male!!Margin of Error!!Mean earnings (dollars)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Estimate!!Population 16 years and over with earnings","Female!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Full-time, year-round workers with earnings","Female!!Margin of Error!!Full-time, year-round workers with earnings","Female!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Female!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Mean earnings (dollars)","Female!!Margin of Error!!Mean earnings (dollars)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
"0400000US01","Alabama","2294955","6369","27174","134","1454727","5899","2.3","0.1","5.0","0.1","17.5","0.3","18.5","0.3","20.7","0.3","14.2","0.2","5.6","0.1","7.9","0.1","8.5","0.2","(X)","(X)","51123","318","32100","154","18944","343","25981","231","31222","231","46739","396","56598","679","18.8","(X)","1200743","4327","33320","257","825365","4238","1.9","0.1","3.9","0.2","13.6","0.4","16.3","0.3","19.8","0.3","15.4","0.3","6.7","0.2","10.1","0.2","12.2","0.2","45058","303","59278","481","39392","322","22255","388","32014","273","40184","400","60440","802","76608","1444","(X)","(X)","1094212","4411","22089","152","629362","4306","2.7","0.2","6.4","0.3","22.5","0.4","21.3","0.4","21.8","0.4","12.6","0.3","4.2","0.2","4.9","0.2","3.6","0.2","33259","282","40427","274","26088","175","14228","430","20139","234","25534","233","38504","497","50399","409","(X)","(X)"
"0400000US02","Alaska","423015","1993","36240","424","243148","2761","1.5","0.2","2.5","0.2","9.8","0.4","14.3","0.5","19.7","0.5","16.6","0.5","8.5","0.4","14.1","0.5","13.1","0.5","(X)","(X)","62680","722","43194","515","24523","1324","33872","856","41893","589","53579","1318","72078","1656","16.8","(X)","235671","1243","42923","800","143034","1906","1.3","0.2","2.0","0.2","9.2","0.6","12.0","0.7","16.4","0.7","15.9","0.7","9.6","0.6","16.1","0.8","17.5","0.7","58565","1465","69840","1085","51941","702","28538","2185","41149","1087","51318","1009","67416","1984","81709","2708","(X)","(X)","187344","1437","30441","400","100114","1682","1.7","0.3","3.2","0.4","10.6","0.6","17.4","0.8","24.3","0.8","17.7","0.8","6.8","0.6","11.3","0.8","6.9","0.5","44520","568","52450","759","35826","584","20398","1410","26603","659","33602","1186","44161","1594","64172","2359","(X)","(X)"
"0400000US04","Arizona","3122647","7871","29620","177","1922846","7942","2.1","0.1","4.4","0.1","15.0","0.2","17.6","0.2","21.5","0.2","14.0","0.2","5.9","0.1","9.0","0.2","10.5","0.2","(X)","(X)","54942","252","34330","177","19087","295","26753","198","33872","269","48210","529","60882","652","19.6","(X)","1667576","4984","33118","268","1105985","5542","2.0","0.1","3.9","0.1","13.7","0.3","15.6","0.3","19.6","0.3","14.7","0.3","6.4","0.2","10.3","0.3","14.0","0.2","45500","313","61426","387","39440","345","21707","286","30518","271","40525","325","58562","1196","77261","1534","(X)","(X)","1455071","5536","25566","155","816861","5131","2.2","0.1","5.1","0.2","16.8","0.4","20.4","0.4","24.1","0.3","13.1","0.3","5.2","0.2","7.2","0.2","5.9","0.2","37493","225","46164","282","30285","156","15240","281","22875","408","29374","338","40367","364","50886","553","(X)","(X)"
"0400000US05","Arkansas","1409725","5145","26180","134","901543","5457","2.4","0.1","5.3","0.2","20.0","0.3","20.3","0.3","21.2","0.3","12.8","0.3","4.8","0.2","6.5","0.2","6.7","0.2","(X)","(X)","47391","353","30512","160","20285","361","25509","203","29637","398","44181","515","57075","790","16.8","(X)","741944","3057","31010","240","510153","3414","2.0","0.1","4.0","0.2","16.1","0.4","18.8","0.4","21.4","0.4","14.4","0.4","5.5","0.2","8.1","0.3","9.5","0.3","40535","261","54245","538","35667","289","22551","491","30744","321","36958","482","52859","956","71351","1332","(X)","(X)","667781","3548","21831","150","391390","3621","3.0","0.2","7.0","0.3","25.0","0.5","22.3","0.4","20.9","0.5","10.7","0.3","3.9","0.2","4.3","0.2","3.0","0.2","31419","222","38457","350","25475","171","15846","482","20426","259","24531","435","38230","594","50071","696","(X)","(X)"
"0400000US06","California","18983122","21346","31345","60","11338330","19842","2.0","0.1","4.0","0.1","14.1","0.1","14.3","0.1","17.4","0.1","13.6","0.1","6.4","0.1","11.2","0.1","16.9","0.1","(X)","(X)","65962","214","37170","98","19270","92","27984","184","36665","110","55734","274","79293","370","18.8","(X)","10259363","12507","35724","132","6694959","12782","1.7","0.1","3.6","0.1","13.4","0.1","13.5","0.1","16.2","0.1","13.2","0.1","6.3","0.1","11.5","0.1","20.5","0.1","51180","147","72517","273","42044","129","22255","96","31960","132","43089","228","66503","284","97209","613","(X)","(X)","8723759","13681","26620","70","4643371","13306","2.3","0.1","4.6","0.1","15.2","0.1","15.6","0.1","19.2","0.1","14.1","0.1","6.5","0.1","10.6","0.1","11.8","0.1","43709","167","56510","196","31904","77","15021","104","23661","172","31270","101","47753","354","65870","320","(X)","(X)"
"0400000US08","Colorado","2920788","5774","32301","124","1776843","6494","1.9","0.1","3.6","0.1","11.4","0.2","15.4","0.2","20.8","0.2","15.2","0.2","6.9","0.1","10.9","0.1","13.9","0.2","(X)","(X)","62360","357","38418","224","21698","363","29867","358","35042","263","48544","452","63991","784","17.0","(X)","1569179","3872","38288","307","1042618","4632","1.7","0.1","3.0","0.1","9.8","0.2","13.6","0.3","18.9","0.3","15.3","0.2","7.3","0.2","12.3","0.2","18.1","0.3","52059","242","70282","543","44847","306","25633","464","34309","436","41963","321","60704","562","81739","778","(X)","(X)","1351609","3770","26797","130","734225","4660","2.2","0.1","4.4","0.2","13.6","0.3","18.0","0.3","23.6","0.4","15.1","0.3","6.3","0.2","8.9","0.2","8.0","0.2","41613","195","51109","322","31951","156","15782","447","23995","361","29228","330","39717","421","52083","542","(X)","(X)"
"0400000US09","Connecticut","1985697","5532","38133","290","1193714","5560","1.3","0.1","2.0","0.1","8.3","0.2","12.1","0.2","18.5","0.2","16.1","0.2","8.2","0.2","14.0","0.2","19.5","0.2","(X)","(X)","78568","601","44948","257","22479","552","33651","427","40246","301","60327","428","77808","884","18.5","(X)","1024688","3593","45498","319","682329","3815","1.2","0.1","1.6","0.1","7.2","0.3","10.1","0.3","16.1","0.3","15.9","0.3","8.1","0.2","14.6","0.3","25.2","0.3","62463","489","91082","888","53086","282","26094","629","40848","408","48160","721","75227","797","99280","1453","(X)","(X)","961009","3610","31554","216","511385","3616","1.5","0.1","2.4","0.2","9.9","0.3","14.8","0.3","21.6","0.4","16.4","0.3","8.3","0.2","13.3","0.3","11.9","0.3","49859","396","61871","557","37433","324","18667","691","26702","294","33840","378","48008","744","65131","748","(X)","(X)"
"0400000US10","Delaware","482754","2219","33303","372","303069","2558","1.5","0.1","3.0","0.2","11.3","0.4","16.2","0.5","22.0","0.6","16.4","0.5","7.2","0.3","10.7","0.4","11.7","0.3","(X)","(X)","59476","613","39364","422","21742","955","31248","519","37762","718","50797","888","67632","1614","19.9","(X)","244677","1588","38619","688","163585","1861","1.3","0.2","2.6","0.3","9.7","0.5","14.0","0.6","19.9","0.6","17.4","0.7","7.7","0.4","12.0","0.6","15.5","0.6","51387","419","66666","1009","44796","635","25739","1244","36633","952","44478","1030","59957","1664","81516","2564","(X)","(X)","238077","1647","29263","709","139484","1779","1.7","0.2","3.5","0.4","13.0","0.6","18.7","0.7","24.6","0.9","15.3","0.6","6.6","0.4","9.2","0.5","7.3","0.5","42117","438","51043","612","34368","517","16726","1245","26032","681","33049","662","44035","1011","57036","1795","(X)","(X)"
"0400000US11","District of Columbia","375280","2327","46529","817","250902","2169","1.3","0.2","1.9","0.2","6.2","0.4","9.8","0.4","16.2","0.5","14.8","0.5","7.8","0.4","14.9","0.5","27.2","0.6","(X)","(X)","87931","1264","55010","824","23338","1332","30644","734","38305","1591","61971","909","84598","1613","23.2","(X)","182504","1394","50005","1038","126718","1533","1.3","0.2","1.8","0.3","6.6","0.5","9.3","0.6","15.1","0.7","13.3","0.8","6.6","0.5","14.1","0.8","31.9","0.9","68914","2360","97367","2075","58593","2191","24661","1656","31069","964","39924","2463","67121","2197","96973","2416","(X)","(X)","192776","1952","43865","775","124184","1587","1.2","0.2","1.9","0.3","5.9","0.5","10.2","0.7","17.4","0.7","16.3","0.7","9.0","0.6","15.6","0.7","22.5","0.7","61801","764","78302","1227","52542","752","21911","1458","30098","1353","37002","1563","57996","1411","76437","1174","(X)","(X)"
"0400000US12","Florida","9355718","18022","27404","74","5848088","13659","2.1","0.1","4.9","0.1","17.6","0.2","19.3","0.2","21.1","0.2","13.0","0.1","5.1","0.1","7.6","0.1","9.3","0.1","(X)","(X)","52775","243","31527","97","18318","161","25335","98","31255","109","43815","233","59068","738","20.1","(X)","4863404","11360","31136","121","3229383","8420","2.0","0.1","4.2","0.1","15.8","0.2","17.4","0.2","19.7","0.2","13.7","0.2","5.6","0.1","8.9","0.1","12.8","0.2","41944","175","60180","364","35436","176","20672","172","28316","273","36048","218","52248","359","74248","1122","(X)","(X)","4492314","10944","24898","126","2618705","10058","2.3","0.1","5.7","0.1","19.8","0.2","21.6","0.2","22.8","0.2","12.2","0.2","4.6","0.1","6.0","0.1","5.0","0.1","35305","162","43644","187","27843","161","15597","150","21766","144","27407","132","39273","283","49274","498","(X)","(X)"
